"ID","AgeRange","Job","ZipCode","Male"
1,1,"K-12 student","48067",0
2,56,"self-employed","70072",1
3,25,"scientist","55117",1
4,45,"executive/managerial","02460",1
5,25,"writer","55455",1
6,50,"homemaker","55117",0
7,35,"academic","06810",1
8,25,"programmer","11413",1
9,25,"technician/engineer","61614",1
10,35,"academic","95370",0
11,25,"academic","04093",0
12,25,"programmer","32793",1
13,45,"academic","93304",1
14,35,"other or not specified","60126",1
15,25,"executive/managerial","22903",1
16,35,"other or not specified","20670",0
17,50,"academic","95350",1
18,18,"clerical/admin","95825",0
19,1,"K-12 student","48073",1
20,25,"sales/marketing","55113",1
21,18,"self-employed","99353",1
22,18,"scientist","53706",1
23,35,"other or not specified","90049",1
24,25,"executive/managerial","10023",0
25,18,"college/grad student","01609",1
26,25,"executive/managerial","23112",1
27,25,"lawyer","19130",1
28,25,"academic","14607",0
29,35,"executive/managerial","33407",1
30,35,"executive/managerial","19143",0
31,56,"executive/managerial","06840",1
32,25,"other or not specified","19355",0
33,45,"clerical/admin","55421",1
34,18,"other or not specified","02135",0
35,45,"academic","02482",1
36,25,"clerical/admin","94123",1
37,25,"homemaker","66212",0
38,18,"college/grad student","02215",0
39,18,"college/grad student","61820",1
40,45,"other or not specified","10543",1
41,18,"college/grad student","15116",0
42,25,"farmer","24502",1
43,25,"programmer","60614",1
44,45,"technician/engineer","98052",1
45,45,"self-employed","94110",0
46,18,"unemployed","75602",1
47,18,"college/grad student","94305",1
48,25,"college/grad student","92107",1
49,18,"programmer","77084",1
50,25,"artist","98133",0
51,1,"K-12 student","10562",0
52,18,"college/grad student","72212",1
53,25,"other or not specified","96931",1
54,50,"academic","56723",1
55,35,"programmer","55303",0
56,35,"writer","60440",1
57,18,"unemployed","30350",1
58,25,"artist","30303",1
59,50,"academic","55413",0
60,50,"academic","72118",1
61,25,"technician/engineer","95122",1
62,35,"clerical/admin","98105",0
63,18,"college/grad student","54902",1
64,18,"academic","53706",1
65,35,"programmer","55803",1
66,25,"tradesman/craftsman","57706",1
67,50,"customer service","60181",0
68,18,"college/grad student","53706",1
